,precision,recall,f1-score,support
Negative,0.32894736842105265,0.3768844221105528,0.351288056206089,199.0
Neutral,0.3411764705882353,0.29591836734693877,0.31693989071038253,196.0
Positive,0.27167630057803466,0.26704545454545453,0.2693409742120344,176.0
accuracy,0.31523642732049034,0.31523642732049034,0.31523642732049034,0.31523642732049034
macro avg,0.31393337986244085,0.31328274800098205,0.312522973709502,571.0
weighted avg,0.31549237032017113,0.31523642732049034,0.31423914750536736,571.0
